,date,id,author_id,text,like,n_rt,author,colours
48,2021-12-28 17:27:14+00:00,1475881036093562885,1413591361186672642,"SARÀ IL NOSTRO MOTTO PER IL 2022 🔴🔴🔴🔴🔴
#Covid_19 #cialtroni #ilpassnonpassa #iononmivaccino #regnodelleduesicilie #politicicorrotti #DittaturaSanitaria #nodittatura #nogreenpass #norimberga #virologifasulli #resistenza #farabutti #informazioneleccaculo https://t.co/7NXyoQFUZI",4,1,Noi_briganti,#aaaacc
49,2021-12-28 12:39:01+00:00,1475808506653593602,1238800491632607232,"IL 6 GENNAIO 2022 AVRÀ LUOGO LA ""MARCIA DELLE LIBERTÀ""
 (a piedi) PROMOSSA DAL MAGISTRATO PROF. PAOLO SCEUSA.* 

 *DETTAGLI* :
Si partirà alle ore 7.30 dal Piazzale Stazione di Venezia 

 *Link
https://t.co/FVnAOgf1NI
#NoGreenPass",23,22,gianluca826,#aaaacc
50,2021-12-29 01:26:47+00:00,1476001722057338883,1475746062178603008,"Se una cosa non funziona, è incerta ed è pericolosa, è logico renderla obbligatoria. Giusto? O no…?#ObbligoVaccinale #Omicron #tamponi #NoGreenPass #novax",1,1,VeritasVper,#aaaacc
51,2021-12-28 12:26:02+00:00,1475805238477078533,1364298062919794688,"I giornali di regime insistono con propaganda demenziale. 

I casi sono in calo in TUTTI i Paesi dell'Est Europa, ma il calo  in Germania è merito del lockdown (inesistente) dei no vax.

Giornalismo imbarazzante.

#NoGreenPass",639,173,Lorenzo62752880,#aaaacc
52,2021-11-29 16:18:23+00:00,1465354462319493132,1364298062919794688,"Il filosofo Giorgio Agamben:

""Gli storici guarderanno a questo momento storico evidenziando come i giornalisti abbiano dato prova della più vergognosa e infame complicità"".

#NoGreenPass",2074,780,Lorenzo62752880,#aaaacc
53,2021-12-24 20:57:35+00:00,1474484420228747265,1238800491632607232,"Per fortuna Stefano #Puzzer sta bene!!!!
Il suo messaggio:
Tanti auguri anche a voi tante grazie da Stefano Matia e Cristian.
Non molliamo ce la faremo.😘

#NoGreenPass https://t.co/8HJLPEA7MB",153,33,gianluca826,#aaaacc
54,2021-12-27 18:08:15+00:00,1475528970217140234,1238800491632607232,"Buonasera a tutti, a seguito dell'espropriazione dalla nostra pagina facebook de ""LA GENTE COME NOI - COORDINAMENTO NAZIONALE"" siamo a invitarvi alla nuova pagina che abbiamo aperto prontamente.... 
ISCRIVETEVI QUI
https://t.co/p5Ob3fwhSJ

#NoGreenPass
#Puzzer
#StefanoPuzzer https://t.co/xJbXANm4jU",46,29,gianluca826,#aaaacc
55,2021-12-01 19:01:44+00:00,1466120346134880278,1447476230517927936,"Basta con la retorica del “facciamolo per il bene comune”.
Se con le vostre buone ragioni decidete di vaccinarvi (cosa che siete liberissimi di fare) sappiate che è solo PER VOI STESSI, non per gli altri.
Se volete proteggere gli altri, fatevi un tampone al giorno.
 #NoGreenPass",746,218,Aurora88969659,#aaaacc
56,2021-12-28 23:27:04+00:00,1475971593830604807,1245445880540467203,Funziona bene il greenpass. Dovete toglierlo!!!!! #nogreenpass @localteamtv https://t.co/8XK6PHiQqs,2,1,paolobura1,#aaaacc
57,2021-11-23 21:38:55+00:00,1463260799951060997,3090019191,"#NoGreenPass

InfluWeb: 
durante la 12a settimana del 2021, circa il 64% dei casi di sindrome simil-influenzale riferisce di non essere stato visitato da un medico del Servizio sanitario nazionale ma di aver avuto una sindrome simil-influenzale.

https://t.co/5cS5fDUaXm https://t.co/5f8m4xZbFG",7,2,magicaGrmente22,#aaaacc
58,2021-12-28 15:50:31+00:00,1475856699651153929,2380463039,Farmacista: da stamattina 8 positivi di cui 7 benedetti. I vaccinati si contagiano più dei non vaccinati. Questo ormai è palese e assodato. #NoGreenPass #ObbligoVaccinale #tamponi,61,26,cris_tian76,#aaaacc
59,2021-12-28 20:48:51+00:00,1475931777046884358,880502911,"#Cruciani ricoperto (finalmente)  da una valanga di melma. 

Ma tanto lo shampoo non se lo fa. 

#LaZanzara Mauro da Mantova #Confindustria #Bonomi #inonda
#Inondala7 #novax #NoGreenPass #nogreenpassobbligatorio #Fascisti #Meloni #Fratelliditalia #Parenzo #28dicembre https://t.co/YUkeaAIri2",7,1,rotre54,#aaaacc
60,2021-12-28 07:30:08+00:00,1475730771436609536,984895994755211265,"""Fare le code in farmacia per i tamponi e' un fatto di civiltà""

 is the new

""Pagare le tasse e' una cosa bellissima""

#28dicembre #Omicron #NoGreenPass #novax #tamponi #tampone #FFP2 #Draghistan #Draghi #greenpass",9,1,Vathek1984,#aaaacc
61,2021-12-28 23:43:37+00:00,1475975758497595393,1334153931207929859,"Poverino gli sarà presa na' cacarella motorizzata senza andare alle giostre . So disgrazie 
#contagi  #vaccinatevi_e_basta coglioni #novax #NoGreenPass #nogreenpassobbligatorio https://t.co/1ul612zNzU",4,1,ZGravita,#aaaacc
62,2021-12-28 18:17:56+00:00,1475893796823093255,919568303894515712,"Assodato che ""La vaccinazione non immunizza"" (Recalcati)
Assodato che il tampone antigienico non è affidabile
Assodato che siamo in mano ad un branco di idioti
Si può tranquillamente affermare che L'Italia è un Paese di merda
 governato da gente di merda
#Draghistan #NoGreenPass https://t.co/Y4PixjFhlk",47,30,ADeborahF,#aaaacc
63,2021-12-27 17:09:49+00:00,1475514267852054537,1917139915,"@renatobrunetta Grandi risultati!
Dovete fare un decreto ogni 10 giorni per coprire i fallimenti di una politica incentrata solo sui fluidi magici,scordandovi le cure. Ora con dosi ogni 3-4 mesi + tamponi per iniettati, avete dimostrato voi stessi che è stato solo fumo negli occhi #NoGreenPass https://t.co/0wbrZJo6lc",6,2,Mik82Freedom,#aaaacc
